firstname	gender	cnt
Anasse	m	22
Anastasios	m	83
Anatole	m	23
Anatoly	m	12
Anders	m	26
Anderson	m	162
Andi	m	28
Andre	m	1995
Andrea	m	110
Andreas	m	216
Andrei	m	368
Andrej	m	26
Andre Jr	m	73
Andre Junior	m	25
Andre Luc	m	21
Andre Michel	m	18
Andre Philippe	m	52
Andre-Philippe	m	18
Andre Pierre	m	30
Andres	m	211
Andres David	m	20
Andres Felipe	m	115
Andrew	m	4006
Andrew James	m	19
Andrey	m	77
Andrian	m	11
Andrick	m	23
Andrii	m	11
Andriy	m	34
Andro	m	21
Andrzej	m	15
Andy	m	1614
Anes	m	145
Aness	m	19
Angad	m	12
Ange	m	24
Angel	m	130
Angel David	m	15
Angel Gabriel	m	16
Angelo	m	434
Angelos	m	31
Angus	m	76
Anh Tuan	m	20
Anick	m	13
Anik	m	16
Anil	m	17
Anir	m	55
Anis	m	407
Anish	m	20
Aniss	m	38
Ankit	m	15
Anmol	m	11
Annick	m	16
Anouar	m	40
Ansel	m	11
Ansh	m	14
Anson	m	38
Anthoine	m	19
Anthon	m	14
Anthoni	m	38
Anthonie	m	12
Anthonin	m	45
Anthonny	m	15
Anthony	m	14399
Anthony Gabriel	m	14
Anthony J	m	13
Anthony James	m	37
Anthony-James	m	20
Anthony John	m	15
Anthony Joseph	m	20
Anthony Jr	m	18
Anthony Michael	m	17
Anthonyn	m	12
Antoine	m	16768
Antoine Olivier	m	15
Antoine-Olivier	m	30
Anton	m	262
Antoni	m	190
Antonie	m	16
Antonin	m	649
Antonino	m	62
Antonio	m	704
Antonios	m	57
Antonny	m	26
Antony	m	1490
Antoun	m	15
Antoyne	m	30
Antranik	m	21
Antwan	m	23
Anwar	m	65
Aous	m	11
A Philippe	m	42
Apollo	m	20
Apostolos	m	29
April	m	34
Ara	m	27
Arad	m	41
Arafat	m	12
Aram	m	78
Aramis	m	20
Aran	m	11
Aras	m	20
Arash	m	91
Archer	m	16
Archibald	m	22
Archie	m	20
Arda	m	29
Arden	m	11
Arek	m	18
Aren	m	68
Ares	m	21
Arezki	m	20
Arfan	m	13
Arham	m	38
Ari	m	97
Aria	m	26
Arian	m	60
Arie	m	18
Ariel	m	306
Arif	m	22
Arik	m	17
Aris	m	191
Arish	m	11
Aristide	m	14
Aristidis	m	17
Aristotelis	m	17
Arjun	m	50
Arlo	m	87
Armaan	m	36
Arman	m	138
Armand	m	137
Armando	m	68
Armani	m	12
Armel	m	28
Armen	m	57
Armin	m	75
Arnaud	m	3826
Arnault	m	11
Arnav	m	14
Arno	m	282
Arnold	m	53
Aron	m	188
Arris	m	31
Arsalan	m	32
Arsen	m	30
Arsene	m	53
Arsenii	m	12
Arshia	m	23
Arslan	m	24
Arslane	m	14
Artem	m	70
Arthur	m	3945
Artin	m	60
Artiom	m	35
Artur	m	92
Arturo	m	76
Artyom	m	24
Arun	m	31
Arvin	m	60
Arya	m	45
Aryan	m	129
Arye	m	22
Aryeh	m	38
Aryo	m	12
Asad	m	42
Asael	m	24
Ashar	m	14
Asher	m	172
Ashish	m	12
Ashkan	m	26
Ashley	m	242
Ashraf	m	30
Ashton	m	195
Ashvin	m	15
Ashwin	m	35
Asif	m	27
Asim	m	30
Aslan	m	21
Assad	m	16
Assalas	m	11
Assane	m	13
Assem	m	11
Asser	m	18
Assil	m	33
Assim	m	15
Assirem	m	12
Astrid	m	11
Aswin	m	15
Atanas	m	11
Athan	m	19
Athanasios	m	117
Atharv	m	11
Athavan	m	18
Atif	m	15
Atlas	m	18
Atticus	m	17
Attila	m	18
Aubert	m	52
Aubin	m	17
Aubrey	m	19
Audrey	m	55
Audric	m	40
Audrick	m	22
Audry	m	14
August	m	63
Auguste	m	310
Augustin	m	356
Augusto	m	23
Aurel	m	36
Aurele	m	53
Aurelien	m	65
Aurelio	m	11
Austen	m	15
Austin	m	522
Auston	m	14
Austyn	m	13
Avedis	m	17
Avery	m	161
Avi	m	55
Avraham	m	70
Avrohom	m	41
Avrum	m	40
Awais	m	16
Aws	m	19
Axel	m	1307
Axil	m	11
Axl	m	31
Ayaan	m	99
Ayan	m	98
Ayaz	m	20
Aydan	m	66
Ayden	m	830
Aydin	m	48
Ayham	m	38
Aylan	m	245
Aylane	m	45
Aylimas	m	11
Ayman	m	329
Aymane	m	131
Aymen	m	246
Aymene	m	21
Aymeric	m	214
Aymerick	m	97
Aymerik	m	45
Aymrick	m	28
Aymrik	m	11
Ayoub	m	625
Ayoube	m	11
Ayrton	m	14
Ayub	m	11
Ayush	m	23
Ayyan	m	13
Azaan	m	16
Azad	m	25
Azan	m	15
Azar	m	12
Azariah	m	11
Aziz	m	115
Azlan	m	16
Azriel	m	15
Babacar	m	44
Babak	m	13
Bachar	m	18
Bachir	m	60
Bader	m	28
Badis	m	38
Badr	m	119
Badreddine	m	37
Bailey	m	59
Bakary	m	16
Baker	m	16
Bakr	m	15
Balthazar	m	25
Bao	m	12
Baptiste	m	291
Bara	m	14
Baraa	m	43
Barae	m	17
Bardia	m	36
Barnabe	m	13
Barry	m	55
Barthelemy	m	33
Bartosz	m	12
Baruch	m	39
Basel	m	21
Basem	m	13
Bashar	m	36
Bashir	m	24
Basil	m	32
Basile	m	69
Bassam	m	54
Bassel	m	44
Bassem	m	36
Bassil	m	11
Bastian	m	36
Bastien	m	1138
Batiste	m	17
Bayan	m	13
Bayram	m	12
Bayrem	m	18
Beau	m	32
Bechir	m	20
Beckett	m	15
Beckham	m	16
Behzad	m	15
Bejamin	m	11
Belal	m	26
Belkacem	m	15
Ben	m	196
Benedict	m	63
Beni	m	17
Benicio	m	22
Benito	m	26
Benjamen	m	21
Benjamin	m	12339
Benjamyn	m	47
Benji	m	16
Bennett	m	35
Benny	m	52
Benoit	m	6871
Benoit Jr	m	21
Benoit Pierre	m	11
Benson	m	42
Bentley	m	70
Benyamin	m	29
Benzion	m	18
Bernard	m	489
Bernard Jr	m	16
Bernardo	m	53
Berny	m	13
Berthier	m	18
Bertin	m	25
Bertrand	m	165
Bhavik	m	12
Biagio	m	17
Bianca	m	11
Bienvenu	m	11
Bijan	m	12
Bilal	m	382
Bilel	m	52
Bill	m	62
Billal	m	29
Billel	m	20
Billi	m	14
Billie	m	17
Billy	m	1384
Billy Joe	m	25
Bily	m	23
Binjamin	m	13
Binyamin	m	26
Bishoy	m	13
Bjorn	m	34
Blair	m	37
Blaise	m	100
Blake	m	359
Blayke	m	13
Blaze	m	13
Blessing	m	15
Bo	m	47
Boaz	m	21
Bob	m	42
Bobby	m	806
Boby	m	78
Bodhi	m	16
Bogdan	m	130
Bohdan	m	14
Bojan	m	32
Boran	m	14
Boris	m	255
Borislav	m	14
Borna	m	19
Boruch	m	13
Boubacar	m	87
Bo Wen	m	12
Bowen	m	43
Boyan	m	25
Brad	m	122
Braden	m	38
Bradley	m	796
Bradly	m	22
Brady	m	116
Braeden	m	27
Braedon	m	12
Brahim	m	57
Brahm	m	11
Braiden	m	12
Bram	m	14
Brandan	m	27
Branden	m	115
Brando	m	29
Brandon	m	3909
Brandon Lee	m	24
Brandyn	m	14
Branko	m	11
Brant	m	16
Braxton	m	27
Brayan	m	83
Brayden	m	249
Braydon	m	29
Brayen	m	17
Brendan	m	493
Brenden	m	71
Brendon	m	357
Brennan	m	54
Brent	m	146
Brett	m	116
Brian	m	1680
Brice	m	53
Bright	m	12
Brittany	m	13
Brock	m	32
Brodie	m	21
Brody	m	134
Bronson	m	24
Brooke	m	11
Brooklyn	m	16
Brooks	m	13
Bruce	m	336
Bruno	m	2902
Bruno Jr	m	12
Bruno Pier	m	48
Bruno Pierre	m	147
Bruno-Pierre	m	24
Bryan	m	2566
Bryant	m	27
Bryce	m	92
Bryden	m	12
Bryen	m	14
Bryson	m	50
Burak	m	22
Byron	m	55
Cade	m	15
Caden	m	39
Cael	m	20
Caelan	m	33
Caiden	m	20
Caio	m	12
Cairo	m	13
Cale	m	14
Caleb	m	1993
C Alexandre	m	44
Calin	m	17
Calixte	m	13
Callum	m	75
Calogero	m	24
Calum	m	16
Calvin	m	277
Camden	m	37
Cameron	m	640
Camil	m	175
Camile	m	17
Camille	m	244
Camilo	m	111
Camilo Andres	m	35
Camron	m	45
Can	m	12
C Antoine	m	63
Carey	m	17
Carl	m	4187
Carl Alexandre	m	14
Carl Andre	m	20
Carl Anthony	m	12
Carl Antoine	m	22
Carl-Antoine	m	18
Carl David	m	12
Carle	m	35
Carlens	m	25
Carl Eric	m	44
Carl-Eric	m	17
Carl Etienne	m	14
Carl-Etienne	m	13
Carl Henri	m	15
Carlo	m	285
Carl Olivier	m	50
Carl-Olivier	m	30
Carlos	m	465
Carlos Alberto	m	32
Carlos Andres	m	44
Carlos Antonio	m	15
Carlos Daniel	m	30
Carlos David	m	18
Carlos Eduardo	m	34
Carlos Enrique	m	26
Carlos Fernando	m	11
Carlos Javier	m	11
